feature,importance
b'!\xd8\xa8\xd9\x84\xd9\x87',0.0
b'!\xd8\xb2',0.0
b'!\xd8\xb2\xd8\xb2\xd9\x86',5.26226378691e-09
b'!\xd8\xb2\xda\xa9\xd9\x81*',0.0
b'!\xd8\xb3\xd8\xaa',0.0
b'!\xd9\x81\xd8\xaa\xd8\xa7\xd8\xaf\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c\xd9\x85',0.0
b'!\xdb\x8c',0.0
b'!\xdb\x8c\xd9\x86',0.0
b'&#8220;\xd8\xa7\xd8\xb3\xd9\x85\xd8\xa7&#8221;',0.0
b'&#8220;\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85',0.0
b'&#8230;',0.0
b'(',0.0
b'(\xd8\xb3\xd9\xbe\xd8\xa7\xd9\x87\xd8\xa7\xd9\x86)',0.0
b'(\xd8\xb9\xd8\xb1\xd8\xa7\xd9\x82)',0.0
b'(\xd9\x84\xd9\x84\xd9\x87)\xd9\x84\xd9\x84\xd8\xa7\xd9\x87',0.0
b'(\xd9\x87\xd9\x85)',0.0
b'(\xe2\x80\x8c\xd9\x84\xd8\xa7\xd8\xad\xd9\x88\xd9\x84\xe2\x80\x8c)',3.66363592531e-09
b')',0.0
b'*\xd9\x86',0.0
b'-',0.0
b'-\xd8\xac\xd9\x84\xd9\x88\xd9\x87',0.0
b'-\xd8\xb1\xdb\x8c\xd8\xb3\xd9\x85\xd8\xa7\xd9\x86',0.0
b'-\xd9\x86\xd9\x88\xd8\xa7\xdb\x8c\xdb\x8c\xd9\x87\xd8\xa7',0.0
b'-\xe2\x80\x8c\xd8\xb3\xdb\x8c\xd8\xb1\xd8\xaa',0.0
b'-\xe2\x80\x8c\xd8\xb9\xd9\x88\xd9\x86',0.0
b'..',0.0
b'.\xd8\xa7\xd8\xb2',0.0
b'.\xd8\xa8\xdb\x8c\xe2\x80\x8c\xd9\x86\xdb\x8c\xd8\xa7\xd8\xb2',0.0
b'.\xd8\xae\xd8\xb6\xd8\xb1\xd8\x8c',0.0
b'.\xd8\xb3\xd8\xaa\xdb\x8c',0.0
b'.\xd8\xb3\xd9\x88\xd8\xa7\xd8\xaf',0.0
b'.\xd8\xba\xd9\x84\xd8\xaa\xd8\xaf',0.0
b'.\xd9\x85\xd9\x86',0.0
b'.\xd9\x87\xd9\x85\xd9\x87',0.0
b'.\xd9\x88\xd9\x84\xdb\x8c',0.0
b'.\xda\xa9\xd8\xb3\xdb\x8c\xe2\x80\x8c\xda\xa9\xd8\xb2\xd8\xa7\xd9\x86',0.0
b'.\xda\xaf\xd9\x84',0.0
b':\xd8\xa2\xd8\xb1\xdb\x8c',0.0
b':\xd8\xb4\xd9\x88\xd9\x85',0.0
b':\xd9\x86\xdb\x8c\xd8\xb3\xd8\xaa',0.0
b'[\xd8\x9f\xd8\x9f]',0.0
