feature,importance
آ,3.7361089165e-05
آب,0.00100257857731
آبا,3.77764100614e-07
آباد,0.000151235077387
آبادان,3.17835136087e-06
آبادست,9.43918129118e-05
آبادم,6.3162594917e-05
آباقان,1.63399186903e-06
آبت,4.592284818e-05
آبتان,8.94305505029e-07
آبخور,2.58840443252e-05
آبخورد,5.95127614686e-05
آبدار,5.65304772771e-05
آبدارست,8.14150826465e-07
آبدارش,1.90873596335e-06
آبدست,1.07851707474e-07
آبدستم,6.87017953553e-07
آبرو,4.00870893945e-05
آبروی,0.000101980263673
آبرویی,9.69999391758e-08
آبریز,2.11045149799e-07
آبست,1.61347829987e-06
آبستان,1.56658602562e-06
آبستن,3.69619963896e-05
آبستنان,1.07422619943e-06
آبستنیم,6.32254123176e-09
آبستن‌ست,1.06334976e-08
آبستی,8.80891835847e-08
آبش,2.74017779896e-05
آبلستان,1.69382197119e-07
آبله,6.18175853762e-07
آبم,1.36159102013e-05
آبنوس,2.17149354347e-06
آبگون,5.25625663018e-06
آبگونم,2.91333629532e-07
آبگون‌ست,3.65574968839e-07
آبگینست,3.15692937408e-09
آبگینه,2.40458235538e-05
آبگینه‌ای,4.82192299552e-07
آبی,0.000314956299733
آبیست,3.54755887187e-06
آبیش,4.3282390236e-07
آبیم,1.15322314145e-07
آب‌ها,9.26654925153e-07
آب‌های,4.80678309869e-07
آت,3.08453365563e-05
آتش,0.000790281374868
آتشان,2.96088366159e-07
آتشبار,4.8613370091e-07
آتشت,2.99671654424e-06
آتشتان,1.75573046333e-07
آتشخوار,1.06013943484e-07
آتشدان,6.90825632762e-07
آتشروی,6.16076529266e-07
آتشرویی,3.84396496627e-07
آتشست,3.63345905552e-06
آتشش,1.52519972996e-05
آتششان,3.19623829765e-07
آتشم,4.6348429516e-05
آتشناک,1.54232175117e-05
آتشکدست,1.1864954436e-07
آتشکده,8.81014299377e-05
آتشکده‌ام,5.91843409959e-10
آتشکده‌ست,5.19002358957e-08
آتشکده‌ها,2.36897164156e-08
آتشگون,2.93640753973e-05
آتشی,5.81222437023e-05
آتشیت,1.6861203687e-07
آتشیست,1.00754130354e-06
آتشیم,4.60127405104e-07
آتشین,5.88980131146e-05
آتشینت,5.12442853818e-06
آتشینش,6.94848564549e-09
آتشینم,7.09183083036e-05
آتشی‌اند,3.7740854005e-07
آتشی‌ست,2.81453690043e-07
آتش‌ست,1.12254487288e-07
آتش‌ها,1.84546207891e-07
آتش‌های,8.82928187637e-07
آتی,0.0
آثار,1.42526801383e-05
آثارش,5.66487056405e-07
آثارم,4.66601590918e-07
آجر,8.87142124294e-08
آجل,4.5142058627e-07
آجلست,2.16808097874e-07
آحاد,1.68630233463e-07
آحادست,7.28529937821e-07
آختن,4.03702156844e-06
آخته‌ای,5.08490624373e-05
آختیم,2.13338424446e-07
آخر,0.000561645167923
آخرالامر,5.13789128225e-05
آخرالدواء,1.93821005504e-05
آخرالزمانم,4.80999753947e-12
آخرالزمانی,1.94526639648e-07
آخرت,3.23965101822e-05
آخرجهان,9.3939497074e-08
آخرزمان,8.63362662474e-05
آخرزمانست,8.4622901291e-07
آخرست,1.61405190674e-07
آخرش,3.14058430534e-07
آخرم,1.12130644206e-07
آخری,2.57352176421e-06
آخریان,4.14287303767e-07
آخرین,3.37864377089e-07
آخور,4.68568852581e-07
آداب,3.74168024043e-09
آدابی,7.26532297409e-10
آدم,0.000144115260101
آدمست,3.20107109558e-07
آدمچگان,1.11295137378e-07
آدمی,9.84310739657e-05
آدمیان,1.10424218471e-06
آدمیانی,3.010332399e-05
آدمیانید,4.06321548822e-08
آدمیتست,5.76729132686e-07
آدمیزاد,1.8231613974e-07
آدمیست,3.23450836273e-07
آدمیم,1.9240764797e-07
آدمیی,2.60858557715e-06
آدینه,8.91235186598e-07
آذار,9.18146678869e-07
آذاری,2.58062545053e-05
آذانکم,5.19372971466e-13
آذر,5.29532438483e-06
آذرش,2.04754575036e-07
آذرم,9.62733078665e-07
آذرنام,1.80913977882e-06
آذریست,3.55322413204e-08
آذیتنی,5.14756853474e-05
آر,0.000244961860142
آرا,9.82020219005e-07
آراست,7.52087512212e-05
آراسته,8.17776518646e-06
آراسته‌ام,3.63072322598e-05
آراسته‌ست,8.19666680826e-08
آرام,0.000132389758337
آرامد,4.53034684592e-07
آرامش,1.87034903613e-07
آرامم,2.20611396135e-05
آرامگاه,9.90802447647e-09
آرامگه,2.15790691627e-05
آرامگهش,1.45035510827e-05
آرامی,2.02870951422e-06
آرامید,6.66505769101e-08
آرامیده‌ام,2.38160998173e-07
آرای,9.58348927304e-05
آرایت,1.26402095926e-06
آرایش,4.99308570861e-05
آرایی,0.000135619555498
آرد,0.000217279845703
آردت,2.46614864043e-07
آردم,3.47310067274e-07
آرزو,5.47847830262e-05
آرزوست,7.76293569834e-05
آرزوم,1.03644168283e-06
آرزومند,1.21076189871e-05
آرزومندم,1.71830849768e-06
آرزومندی,6.73046936908e-05
آرزوی,0.000134754045707
آرزویت,3.0521915215e-07
آرزویم,1.5216979598e-07
آرزویی,4.19332668412e-07
آرش,5.08466573362e-07
آرم,8.8776258781e-05
آرمت,7.47305723507e-05
آرمش,4.66571679498e-07
آرمیدستی,4.45540396327e-07
آرمیدن,1.0009255826e-08
آرمیده,9.83316779371e-05
آرند,7.68655600896e-05
آری,0.000330771853913
آرید,0.000363869621481
آریستم,2.62216882751e-07
آریش,3.39325864773e-08
آریم,4.53842490013e-05
آز,4.85918102801e-05
آزاد,0.000191422709374
آزادت,2.26967540211e-05
آزادتر,4.08360230464e-07
آزادست,0.000167195440364
آزادم,0.000114558706779
آزادمی,2.66725405587e-07
آزادند,7.33900867e-08
آزاده,0.000197533335487
آزاده‌ام,6.04901963739e-05
آزادگان,3.1125047218e-05
آزادگی,9.71662139932e-05
آزادی,2.51321269427e-05
آزادیم,1.08805746403e-07
آزادیهاست,1.97671673682e-07
آزار,0.00012882177743
آزارش,3.61898033857e-05
آزارها,3.1426012974e-05
آزاری,6.73349620105e-05
آزاریست,5.20839886737e-05
آزر,5.42377945829e-06
آزردم,2.29566278455e-07
آزردن,1.07791848938e-06
آزرده,5.64140439808e-05
آزرده‌ام,9.22734953834e-08
آزرده‌اند,1.13037992919e-09
آزرم,5.58423658466e-07
آزرند,3.82094907648e-08
آزری,8.78331654933e-07
آزم,1.43546435587e-08
آزماید,1.00241076827e-06
آزمایم,1.06092393546e-07
آزمایی,1.16669854034e-06
آزمود,1.69278941314e-07
آزمودم,2.74507327948e-06
آزموده‌ایم,6.05050324686e-05
آزمودی,5.80032195521e-07
آزمودیم,8.508085504e-07
آزمون,5.92469732112e-07
آزمونم,1.91161466606e-08
آزی,3.01122302659e-07
آسا,8.09627230768e-07
آسان,0.000264737721621
آسانتر,3.24599715843e-07
آسانست,6.15737667547e-07
آسانی,1.78826144582e-05
آسانیست,1.39990842432e-09
آسانیش,1.16609871891e-07
آسای,7.32445813285e-11
آسایت,1.23282411589e-08
آساید,2.14613043089e-08
آسایش,0.000167723996655
آسایشست,7.86477086574e-07
آسایی,9.06007111721e-07
آستان,0.000290268635307
آستانت,1.11811848634e-06
آستانست,5.77968012209e-07
آستانش,1.19810779934e-07
آستانم,9.68204144294e-07
آستانه,0.000332094889033
آستین,0.000150532239307
آستینان,9.55473243393e-05
آستینت,1.09747205556e-06
آستینش,5.96801492024e-07
آستینم,3.59834007854e-07
آستینی,4.76922354719e-05
آستینیم,8.41354731941e-07
آسمان,0.000219337607305
آسمانا,7.12901938305e-07
آسمانت,1.3271183024e-07
آسمانست,1.84686169359e-06
آسمانستی,3.68938119967e-09
آسمانش,1.54961366816e-05
آسمانم,4.95868684674e-07
آسمانند,6.55810244091e-09
آسمانی,2.04693189522e-06
آسمانیم,7.80131874351e-08
آسمان‌ها,8.77915724389e-06
آسوده,6.74363027403e-05
آسوده‌ایم,7.85992824926e-06
آسوده‌ست,1.35542499916e-07
آسودگی,6.44640000152e-07
آسیا,9.07760213625e-06
آسیابان,1.93772851025e-07
آسیابی,2.08139981501e-08
آسیاها,7.27778565191e-08
آسیای,6.41463226097e-07
آسیایی,8.33762111308e-08
آسیب,3.20168107176e-05
آش,1.87168638892e-06
آشام,2.54003559018e-06
آشامان,1.27516145674e-07
آشامد,4.22363326245e-09
آشامش,2.7869348558e-07
آشامم,2.65449207682e-05
آشامی,1.29134686599e-07
آشتی,7.16479953914e-05
آشفتم,3.38553970709e-07
آشفتن,1.91574632955e-06
آشفته,9.4606217589e-05
آشفته‌ام,8.98815712705e-07
آشفته‌تر,1.09486016171e-06
آشفتگان,7.11167533074e-09
آشفتگی,7.08842530248e-05
آشنا,0.000390816730377
آشنات,2.73942773325e-08
آشناست,4.24670492802e-05
آشنای,2.41430491053e-05
آشنایان,9.67255757424e-05
آشنایی,0.000116116834752
آشناییم,4.65863909007e-08
آشنایی‌هاست,4.80992646151e-05
آشوب,0.000104936746259
آشوبی,2.10638167663e-05
آشکار,9.02795807902e-06
آشکارا,2.83219101702e-05
آشکارست,1.29574224605e-08
آشکارش,3.02065761968e-07
آشکارم,2.89203633413e-06
آشکاره,9.84360758328e-05
آشکاری,3.54724224559e-07
آشکاریست,8.35180843591e-09
آشکاریم,3.87268105111e-07
